"日付","連番","金額","項目"
"2024/06/05","1","1369","食費"
"2024/06/06","1","1604","食費"
"2024/06/07","1","733","食費"
"2024/06/07","2","480","食費"
"2024/06/08","1","1000","カフェ"
"2024/06/08","2","420","カフェ"
"2024/06/08","3","1925","食費"
"2024/06/09","1","763","食費"
"2024/06/09","2","860","食費"
"2024/06/13","1","250","カフェ"
"2024/06/13","2","250","カフェ"
"2024/06/13","3","515","食費"
"2024/06/15","1","1214","食費"
"2024/06/16","1","830","カフェ"
"2024/06/18","1","2328","食費"
"2024/06/20","1","1955","食費"
"2024/06/21","1","1482","食費"
"2024/06/29","1","1543","食費"
"2024/07/01","1","440","日用雑貨"
"2024/07/02","1","490","カフェ"
"2024/07/02","2","877","食費"
"2024/07/03","1","2255","食費"
"2024/07/06","1","250","カフェ"
"2024/07/06","2","1840","食費"
"2024/07/07","1","750","食費"
"2024/07/07","2","530","カフェ"
"2024/07/08","1","276","食費"
"2024/07/09","1","2681","食費"
"2024/07/10","1","864","食費"
"2024/07/11","1","816","食費"
"2024/07/12","1","1371","食費"
"2024/07/14","1","1031","食費"
"2024/07/14","2","665","食費"
"2024/07/14","3","908","日用雑貨"
"2024/07/15","1","1232","食費"
"2024/07/15","2","250","カフェ"
"2024/07/15","3","2615","食費"
"2024/07/16","1","300","カフェ"
"2024/07/17","1","1128","食費"
"2024/07/17","2","590","カフェ"
"2024/07/17","3","306","食費"
"2024/07/18","1","260","カフェ"
"2024/07/18","2","1595","外食"
"2024/07/18","3","248","日用雑貨"
"2024/07/19","1","2350","医療・保険"
"2024/07/19","2","1642","食費"
"2024/07/19","3","260","カフェ"
"2024/07/19","4","499","日用雑貨"
"2024/07/20","1","871","食費"
"2024/07/20","2","489","食費"
"2024/07/20","3","330","日用雑貨"
"2024/07/20","4","440","カフェ"
"2024/07/20","5","1126","日用雑貨"
"2024/07/21","1","430","食費"
"2024/07/21","2","700","カフェ"
"2024/07/22","1","1582","食費"
"2024/07/22","2","896","食費"
"2024/07/23","1","240","カフェ"
"2024/07/24","1","330","カフェ"
"2024/07/24","2","360","カフェ"
"2024/07/24","3","987","食費"
"2024/07/24","4","333","日用雑貨"
"2024/07/24","5","195","日用雑貨"
"2024/07/24","6","1184","食費"
"2024/07/25","1","1990","食費"
"2024/07/26","1","1306","食費"
"2024/07/27","1","626","食費"
"2024/08/27","1","726","食費"
"2024/08/29","1","570","カフェ"
"2024/08/30","1","825","医療・保険"
"2024/09/02","1","138","食費"
"2024/09/04","1","260","カフェ"
"2024/09/04","2","503","食費"
"2024/09/05","1","250","カフェ"
"2024/09/05","2","242","日用雑貨"
"2024/09/05","3","1001","食費"
"2024/09/08","1","530","カフェ"
"2024/09/08","2","440","カフェ"
"2024/09/10","1","250","カフェ"
"2024/09/12","1","1000","カフェ"
"2024/09/12","2","1030","食費"
"2024/09/13","1","250","カフェ"
"2024/09/13","2","2090","カフェ"
"2024/09/14","1","1000","カフェ"
"2024/09/15","1","250","カフェ"
"2024/09/16","1","660","カフェ"
"2024/09/17","1","400","日用雑貨"
"2024/09/21","1","1671","食費"
"2024/09/27","1","934","食費"
"2024/10/03","1","833","食費"
"2024/10/29","1","2670","食費"
"2024/11/06","1","1652","食費"
"2024/11/13","1","1490","食費"
"2024/11/17","1","1501","食費"
"2024/11/22","1","935","食費"
"2024/12/02","1","2103","食費"
"2024/12/21","1","3274","食費"
"2024/12/26","1","1185","食費"
"2025/01/05","1","1080","食費"
"2025/02/02","1","483","食費"
"2025/02/04","1","1640","食費"
"2025/02/06","1","835","食費"
"2025/02/09","1","862","食費"
"2025/02/09","2","648","食費"
"2025/02/09","3","470","カフェ"
"2025/02/09","4","1937","食費"
"2025/02/11","1","509","日用雑貨"
"2025/02/12","1","1353","食費"
"2025/02/16","1","110","日用雑貨"
"2025/02/16","2","741","食費"
"2025/02/18","1","2145","食費"
"2025/02/21","1","790","カフェ"
"2025/02/22","1","213","食費"
"2025/02/22","2","3546","食費"
"2025/02/23","1","1813","医療・保険"
"2025/02/25","1","1636","医療・保険"
"2025/02/26","1","2430","医療・保険"
"2025/02/27","1","440","食費"
"2025/02/27","2","653","食費"
"2025/02/28","1","2420","娯楽"
"2025/03/03","1","652","食費"
"2025/03/03","2","681","食費"
"2025/03/04","1","1272","食費"
"2025/03/04","2","910","外食"
"2025/03/04","3","2750","娯楽"
"2025/03/06","1","450","カフェ"
"2025/03/07","1","4140","美容・衣服"
"2025/03/07","2","1242","食費"
"2025/03/10","1","220","日用雑貨"
"2025/03/10","2","4848","医療・保険"
"2025/03/10","3","128","食費"
"2025/03/11","1","2361","食費"
"2025/04/11","1","1446","食費"
"2025/05/03","1","2622","食費"
"2025/05/07","1","2121","食費"
"2025/08/18","1","70","医療・保険"
"2025/08/26","1","690","日用雑貨"
"2025/08/26","2","2002","食費"
"2025/08/26","3","705","食費"
"2025/08/26","4","2774","食費"
"2025/08/27","1","330","日用雑貨"
"2025/08/27","2","906","食費"
"2025/08/27","3","3142","食費"
"2025/08/27","4","330","日用雑貨"
"2025/08/27","5","810","カフェ"
"2025/08/29","1","280","カフェ"
"2025/08/29","2","2220","食費"
"2025/08/31","1","1325","食費"
"2025/09/01","1","1100","交通"
"2025/09/01","2","2269","食費"
"2025/09/03","1","330","カフェ"
"2025/09/03","2","2168","食費"
"2025/09/03","3","1673","食費"
"2025/09/04","1","280","カフェ"
"2025/09/05","1","1410","食費"
"2025/09/06","1","280","カフェ"
